now,published_at,price,house_type,size,living_size,price_m2,property_legal_document,rooms,toilets,furnishing_sell,width,length,floors,property_status,apartment_type,pty_characteristics,land_type,size_unit,direction,commercial_type,floornumber,block,balconydirection,unitnumber,apartment_feature
2025-10-04T00:11:50.598151,Cập nhật 7 ngày trước,"8,95 tỷ","Nhà ngõ, hẻm",37 m²,,"241,89 triệu/m²",Đã có sổ,3 phòng,,Nội thất đầy đủ,,,6,,,,,,,,,,,,
2025-10-04T00:11:54.410161,Cập nhật 9 ngày trước,"4,5 tỷ","Nhà ngõ, hẻm",45 m²,130 m²,100 triệu/m²,Đã có sổ,4 phòng,3 phòng,,4 m,10 m,3,,,Hẻm xe hơi,,,,,,,,,
2025-10-04T00:11:57.399776,Cập nhật 6 ngày trước,"8,73 tỷ","Nhà ngõ, hẻm",34 m²,34 m²,"256,76 triệu/m²",Đã có sổ,4 phòng,,Nội thất đầy đủ,,,5,,,"Hẻm xe hơi
Nhà nở hậu",,,,,,,,,
2025-10-04T00:11:58.416885,Cập nhật 13 giờ trước,"5,5 tỷ","Nhà ngõ, hẻm",45 m²,65 m²,"122,22 triệu/m²",Giấy tờ viết tay,2 phòng,1 phòng,Nội thất đầy đủ,4.5 m,10 m,,,,"Hẻm xe hơi
Nhà nở hậu",,,Đông Nam,,,,,,
2025-10-04T00:12:13.431253,Cập nhật 3 ngày trước,"11,95 tỷ","Nhà ngõ, hẻm",55 m²,,"217,27 triệu/m²",Đã có sổ,4 phòng,,,,,4,,,Hẻm xe hơi,,,,,,,,,
2025-10-04T00:12:14.685958,Cập nhật 8 ngày trước,"6,7 tỷ","Nhà mặt phố, mặt tiền",48 m²,,"139,58 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-04T00:12:17.570906,Cập nhật 8 ngày trước,11 tỷ,"Nhà ngõ, hẻm",76 m²,76 m²,"144,74 triệu/m²",Đã có sổ,5 phòng,4 phòng,Nội thất đầy đủ,5 m,15 m,4,,,,,,Đông Nam,,,,,,
2025-10-04T00:12:21.054181,Cập nhật 7 ngày trước,"9,3 tỷ","Nhà ngõ, hẻm",38 m²,,"244,74 triệu/m²",Đã có sổ,4 phòng,4 phòng,Hoàn thiện cơ bản,,,5,,,,,,,,,,,,
2025-10-04T00:12:28.346010,Cập nhật 9 ngày trước,95 tỷ,"Nhà mặt phố, mặt tiền",125 m²,250 m²,760 triệu/m²,Đã có sổ,8 phòng,2 phòng,,3 m,45 m,2,,,Nhà nở hậu,,,Đông Bắc,,,,,,
2025-10-04T00:12:32.045594,Cập nhật 2 ngày trước,"7,35 tỷ","Nhà ngõ, hẻm",32 m²,32 m²,"229,69 triệu/m²",Đang chờ sổ,4 phòng,,Hoàn thiện cơ bản,,,4,,,,,,Đông Bắc,,,,,,
2025-10-04T00:12:36.510974,Cập nhật 4 giờ trước,"6,8 tỷ","Nhà ngõ, hẻm",32 m²,,"212,50 triệu/m²",Đã có sổ,5 phòng,,,,,,,,,,,,,,,,,
2025-10-04T00:12:40.246523,Cập nhật 7 ngày trước,"3,75 tỷ","Nhà ngõ, hẻm",30 m²,40 m²,125 triệu/m²,Đã có sổ,4 phòng,3 phòng,,,,,,,Hẻm xe hơi,,,Đông,,,,,,
2025-10-04T00:12:42.899166,Cập nhật 8 ngày trước,"7,2 tỷ","Nhà ngõ, hẻm",45.8 m²,,"157,21 triệu/m²",Đã có sổ,2 phòng,,,,,,,,"Hẻm xe hơi
Nhà nở hậu",,,,,,,,,
2025-10-04T00:12:47.245789,Cập nhật 9 ngày trước,"7,5 tỷ","Nhà ngõ, hẻm",100 m²,100 m²,75 triệu/m²,Đã có sổ,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,,8 m,12.5 m,,,,,,,,,,,,,
2025-10-04T00:12:49.493243,Cập nhật 9 ngày trước,"6,1 tỷ","Nhà ngõ, hẻm",38 m²,,"160,53 triệu/m²",Đã có sổ,3 phòng,,,,,4,,,,,,,,,,,,
2025-10-04T00:13:00.747768,Cập nhật 8 ngày trước,"15,5 tỷ","Nhà mặt phố, mặt tiền",66 m²,,"234,85 triệu/m²",Đã có sổ,10 phòng,Nhiều hơn 6 phòng,,,,6,,,,,,,,,,,,
2025-10-04T00:13:03.752682,Cập nhật 1 ngày trước,35 tỷ,"Nhà mặt phố, mặt tiền",80 m²,,"437,50 triệu/m²",Đã có sổ,6 phòng,6 phòng,Nội thất cao cấp,7.5 m,11 m,6,,,Hẻm xe hơi,,,,,,Phùng Chí Kiên,,2,
2025-10-04T00:13:09.580809,Cập nhật 8 ngày trước,5 tỷ,"Nhà ngõ, hẻm",50 m²,,100 triệu/m²,Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,,,4,,,,,,,,,,,,
2025-10-04T00:13:08.500829,Cập nhật 7 ngày trước,"4,2 tỷ",,58 m²,,"72,41 triệu/m²",Đã có sổ,,,,6 m,9.5 m,,,,"Hẻm xe hơi
Thổ cư toàn bộ
Mặt tiền",Đất thổ cư,m²,,,,,,,
2025-10-04T00:13:11.668823,Cập nhật 7 ngày trước,"5,6 tỷ","Nhà ngõ, hẻm",32 m²,31 m²,175 triệu/m²,Đã có sổ,3 phòng,,,,,,,,,,,,,,,,,
2025-10-04T00:13:19.119494,Cập nhật 7 ngày trước,"4,1 tỷ","Nhà ngõ, hẻm",50 m²,,82 triệu/m²,Đã có sổ,4 phòng,3 phòng,Nội thất cao cấp,,,4,,,,,,,,,,,,
2025-10-04T00:13:25.337057,Cập nhật 9 ngày trước,"8,7 tỷ","Nhà ngõ, hẻm",64 m²,64 m²,"135,94 triệu/m²",Đã có sổ,5 phòng,,Nội thất đầy đủ,,,,,,,,,,,,,,,
2025-10-04T00:13:32.356916,Cập nhật 7 ngày trước,"9,3 tỷ","Nhà ngõ, hẻm",45 m²,,"206,67 triệu/m²",Đã có sổ,4 phòng,,Nội thất cao cấp,4.5 m,10 m,6,,,,,,,,,,,,
2025-10-04T00:13:35.813589,Cập nhật 8 ngày trước,"12,7 tỷ","Nhà mặt phố, mặt tiền",38 m²,,"334,21 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,,,5,,,,,,,,,,,,
2025-10-04T00:13:39.256615,Cập nhật 7 ngày trước,"1,9 tỷ",,56 m²,,"33,93 triệu/m²",Đã có sổ,,,,4 m,14.3 m,,,,,Đất thổ cư,m²,,,,,,,
2025-10-04T00:13:47.260600,Cập nhật 7 ngày trước,"5,65 tỷ","Nhà ngõ, hẻm",52 m²,,"108,65 triệu/m²",Đã có sổ,3 phòng,4 phòng,,,,,,,Nhà nở hậu,,,,,,,,,
2025-10-04T00:13:54.938805,Cập nhật 9 ngày trước,"4,95 tỷ","Nhà ngõ, hẻm",32.7 m²,,"151,38 triệu/m²",Đã có sổ,5 phòng,,Nội thất đầy đủ,3 m,12 m,5,,,,,,,,,,,,
2025-10-04T00:13:56.234464,Cập nhật 9 ngày trước,"6,35 tỷ","Nhà ngõ, hẻm",25 m²,,254 triệu/m²,Đã có sổ,4 phòng,5 phòng,,,,6,,,,,,,,,,,,
2025-10-04T00:13:58.218914,Cập nhật 7 ngày trước,"7,5 tỷ","Nhà ngõ, hẻm",40 m²,,"187,50 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-04T00:14:01.835171,Cập nhật 7 ngày trước,"7,3 tỷ","Nhà ngõ, hẻm",43 m²,,"169,77 triệu/m²",Đã có sổ,3 phòng,3 phòng,,4.6 m,,5,,,,,,,,,,,,
2025-10-04T00:14:10.907599,Cập nhật 7 ngày trước,"9,1 tỷ","Nhà ngõ, hẻm",55 m²,,"165,45 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-04T00:14:19.211981,Cập nhật 9 ngày trước,5 tỷ,"Nhà ngõ, hẻm",32 m²,33 m²,"156,25 triệu/m²",Đã có sổ,4 phòng,5 phòng,Nội thất đầy đủ,,,5,,,Hẻm xe hơi,,,,,,,,,
2025-10-04T00:14:20.399451,Cập nhật 11 giờ trước,"4,1 tỷ","Nhà mặt phố, mặt tiền",37 m²,62 m²,"110,81 triệu/m²",Giấy tờ viết tay,1 phòng,1 phòng,Nội thất đầy đủ,3.32 m,12 m,1,,,,,,Đông Bắc,,,,,,
2025-10-04T00:14:20.572690,Cập nhật 5 ngày trước,14 tỷ,"Nhà mặt phố, mặt tiền",50 m²,,280 triệu/m²,Đã có sổ,6 phòng,4 phòng,,,,5,,,,,,,,,,,,
2025-10-04T00:14:26.050539,Cập nhật 4 giờ trước,"13,999 tỷ","Nhà mặt phố, mặt tiền",50 m²,250 m²,"279,98 triệu/m²",Đã có sổ,4 phòng,4 phòng,,5 m,10 m,5,,,Hẻm xe hơi,,,,,,,,,
2025-10-04T00:14:41.291426,Cập nhật 6 ngày trước,"5,5 tỷ","Nhà ngõ, hẻm",23 m²,,"239,13 triệu/m²",Đã có sổ,3 phòng,3 phòng,,,,5,,,,,,,,,,,,
2025-10-04T00:14:44.428608,Cập nhật 7 ngày trước,"4,7 tỷ",,110 m²,,"42,73 triệu/m²",Sổ hồng riêng,3 phòng,2 phòng,Nội thất đầy đủ,,,,Đã bàn giao,"Tập thể, cư xá",,,,,,3,,,,Căn góc
2025-10-04T00:14:45.140595,Cập nhật 8 ngày trước,"5,05 tỷ",,50.2 m²,,"100,60 triệu/m²",Đã có sổ,,,,4.5 m,11 m,,,,"Mặt tiền
Hẻm xe hơi",Đất thổ cư,,Đông Nam,,,,,,
2025-10-04T00:14:51.157444,Cập nhật 7 ngày trước,"6,98 tỷ","Nhà ngõ, hẻm",35 m²,150 m²,"199,43 triệu/m²",Đã có sổ,5 phòng,4 phòng,Nội thất đầy đủ,5 m,,5,,,,,,,,,,,,
2025-10-04T00:15:03.387241,Cập nhật 9 ngày trước,"3,6 tỷ",,60 m²,,60 triệu/m²,Sổ hồng riêng,2 phòng,2 phòng,,,,,Chưa bàn giao,Chung cư,,,,,,,,,,
2025-10-04T00:15:07.918426,Cập nhật 16 giờ trước,139 tỷ,,180 m²,,"772,22 triệu/m²",Đã có sổ,,,,,,,,,"Mặt tiền
Hẻm xe hơi
Nở hậu
Thổ cư toàn bộ",Đất thổ cư,,,,,,,,
2025-10-04T00:15:07.185051,Cập nhật 7 ngày trước,30 tỷ,,131 m²,,"229,01 triệu/m²",Đã có sổ,,,,9.2 m,13 m,,,,"Mặt tiền
Nở hậu
Thổ cư toàn bộ",Đất thổ cư,m²,,,,,,,
2025-10-04T00:15:08.943399,Cập nhật 7 ngày trước,"13,4 tỷ","Nhà ngõ, hẻm",45 m²,,"297,78 triệu/m²",Đã có sổ,7 phòng,,,,,,,,,,,,,,,,,
2025-10-04T00:15:13.515717,Cập nhật 9 ngày trước,"8,15 tỷ","Nhà ngõ, hẻm",45 m²,,"181,11 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-04T00:15:27.571995,Cập nhật 9 ngày trước,7 tỷ,"Nhà mặt phố, mặt tiền",30 m²,,"233,33 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,,,5,,,,,,,,,,,,
2025-10-04T00:15:30.468068,Cập nhật 9 ngày trước,"8,5 tỷ","Nhà ngõ, hẻm",48 m²,48 m²,"177,08 triệu/m²",Đã có sổ,4 phòng,,Hoàn thiện cơ bản,5.3 m,,4,,,,,,,,,,,,
2025-10-04T00:15:32.338575,Cập nhật 7 ngày trước,"8,3 tỷ","Nhà ngõ, hẻm",23.5 m²,30 m²,"353,19 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,3.12 m,,6,,,Nhà nở hậu,,,,,,,,,
2025-10-04T00:15:36.950625,Cập nhật 8 ngày trước,"7,96 tỷ","Nhà ngõ, hẻm",35 m²,,"227,43 triệu/m²",Đã có sổ,5 phòng,3 phòng,Nội thất đầy đủ,,,4,,,,,,,,,,,,
2025-10-04T00:15:47.176896,Cập nhật 8 ngày trước,"5,3 tỷ",,63 m²,,"84,13 triệu/m²",Đã có sổ,,,,,,,,,,Đất thổ cư,m²,,,,,,,
2025-10-04T00:15:48.386121,Cập nhật 7 ngày trước,"12,9 tỷ","Nhà ngõ, hẻm",54 m²,250 m²,"238,89 triệu/m²",Đã có sổ,3 phòng,4 phòng,,4.2 m,,5,,,Hẻm xe hơi,,,,,,,,,
2025-10-04T00:15:51.088836,Cập nhật 8 ngày trước,"4,8 tỷ",,130 m²,,"36,92 triệu/m²",Sổ hồng riêng,3 phòng,2 phòng,Nội thất cao cấp,,,,Đã bàn giao,"Tập thể, cư xá",,,,,,3,,,,Căn góc
2025-10-04T00:15:54.775002,Cập nhật 7 ngày trước,10 tỷ,"Nhà ngõ, hẻm",38 m²,,"263,16 triệu/m²",Đã có sổ,3 phòng,,Nội thất cao cấp,,,6,,,,,,,,,,,,
2025-10-04T00:16:01.143019,Cập nhật 7 ngày trước,"11,8 tỷ","Nhà ngõ, hẻm",38 m²,,"310,53 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-04T00:16:05.673217,Cập nhật 7 ngày trước,"5,3 tỷ","Nhà ngõ, hẻm",30 m²,,"176,67 triệu/m²",Đã có sổ,4 phòng,4 phòng,,,,4,,,,,,,,,,,,
2025-10-04T00:16:11.295542,Cập nhật 7 ngày trước,12 tỷ,,100 m²,,120 triệu/m²,Đã có sổ,,,,,,,,,"Mặt tiền
Hẻm xe hơi
Thổ cư toàn bộ",Đất thổ cư,m²,,,,,,,
2025-10-04T00:16:18.849465,Cập nhật 8 ngày trước,42 tỷ,"Nhà mặt phố, mặt tiền",108 m²,540 m²,"388,89 triệu/m²",Đã có sổ,6 phòng,6 phòng,Nội thất đầy đủ,6.8 m,,6,,,Hẻm xe hơi,,,,,,,,,
2025-10-04T00:16:21.978991,Cập nhật 9 ngày trước,"9,3 tỷ",,60 m²,,155 triệu/m²,Đã có sổ,,,,5 m,,,,,,Đất thổ cư,,,,,,,,
2025-10-04T00:16:25.024592,Cập nhật 2 ngày trước,"5,35 tỷ","Nhà ngõ, hẻm",30 m²,90 m²,"178,33 triệu/m²",Đã có sổ,3 phòng,3 phòng,Nội thất đầy đủ,3.5 m,8.5 m,3,,,Hiện trạng khác,,,,,,,,,
2025-10-04T00:16:31.957559,Cập nhật 8 ngày trước,"6,4 tỷ","Nhà ngõ, hẻm",40 m²,60 m²,160 triệu/m²,Đã có sổ,3 phòng,3 phòng,Hoàn thiện cơ bản,5 m,,2,,,"Hẻm xe hơi
Nhà nở hậu",,,,,,,,,
2025-10-04T00:16:33.700535,Cập nhật 8 ngày trước,"5,1 tỷ","Nhà ngõ, hẻm",28 m²,,"182,14 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,,,5,,,Nhà nở hậu,,,,,,,,,
2025-10-04T00:16:37.120872,Cập nhật 5 ngày trước,8 tỷ,"Nhà ngõ, hẻm",33 m²,,"242,42 triệu/m²",Đã có sổ,3 phòng,,,4 m,,4,,,,,,,,,,,,
2025-10-04T00:16:37.618103,Cập nhật 3 ngày trước,"10,95 tỷ","Nhà ngõ, hẻm",45 m²,45 m²,"243,33 triệu/m²",Đã có sổ,4 phòng,5 phòng,Nội thất cao cấp,,,4,,,"Nhà nở hậu
Hẻm xe hơi",,,,,,,,,
2025-10-04T00:16:47.747660,Cập nhật 4 giờ trước,"7,19 tỷ",Nhà biệt thự,24 m²,144 m²,"299,58 triệu/m²",Đã có sổ,4 phòng,4 phòng,,3 m,8 m,6,,,"Hẻm xe hơi
Nhà nở hậu",,,,,,,,,
2025-10-04T00:16:55.283944,Cập nhật 8 ngày trước,"3,15 tỷ",,45 m²,,70 triệu/m²,Sổ hồng riêng,1 phòng,,,,,,Đã bàn giao,Chung cư,,,,,,,,,,
2025-10-04T00:16:57.620925,Cập nhật 9 ngày trước,"9,1 tỷ",,75.57 m²,,"120,42 triệu/m²",Đã có sổ,,,,5 m,15.27 m,,,,Mặt tiền,Đất thổ cư,m²,,,,Đấu Giá X9 nguyên khê,,,
2025-10-04T00:16:59.041935,Cập nhật 9 ngày trước,"7,9 tỷ","Nhà ngõ, hẻm",43 m²,,"183,72 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-04T00:16:59.869462,Cập nhật 8 ngày trước,"13,93 tỷ","Nhà ngõ, hẻm",51 m²,,"273,14 triệu/m²",Đã có sổ,5 phòng,5 phòng,,3.8 m,,4,,,"Nhà nở hậu
Hẻm xe hơi",,,Tây Nam,,,,,,
2025-10-04T00:17:12.265091,Cập nhật 7 ngày trước,"8,123 tỷ","Nhà ngõ, hẻm",42 m²,42 m²,"193,40 triệu/m²",Đã có sổ,5 phòng,4 phòng,Nội thất đầy đủ,,,5,,,,,,,,,,,,
2025-10-04T00:17:18.196600,Cập nhật 8 ngày trước,"9,8 tỷ",,24 m²,,"408,33 triệu/m²",Đã có sổ,,,,,,,,,,,,,Mặt bằng kinh doanh,,,,,
2025-10-04T00:17:20.976111,Cập nhật 7 ngày trước,"4,3 tỷ",Nhà phố liền kề,32 m²,32 m²,"134,38 triệu/m²",Đã có sổ,4 phòng,,Nội thất cao cấp,4 m,8 m,5,,,"Hẻm xe hơi
Nhà nở hậu",,,,,,,,,
2025-10-04T00:17:25.995216,Cập nhật 9 ngày trước,"5,8 tỷ","Nhà mặt phố, mặt tiền",30.5 m²,30.5 m²,"190,16 triệu/m²",Đã có sổ,3 phòng,3 phòng,Nội thất cao cấp,3.6 m,10 m,5,,,Nhà nở hậu,,,,,,,,,
2025-10-04T00:17:36.336447,Cập nhật 8 ngày trước,"23,3 tỷ","Nhà ngõ, hẻm",76.8 m²,614 m²,"303,39 triệu/m²",Đã có sổ,9 phòng,,Nội thất cao cấp,6.4 m,12 m,8,,,Nhà nở hậu,,,,,,,,,
2025-10-04T00:17:41.040785,Cập nhật 8 ngày trước,5 tỷ,"Nhà ngõ, hẻm",30 m²,120 m²,"166,67 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất cao cấp,4 m,,4,,,"Hẻm xe hơi
Nhà nở hậu",,,,,,,,,
2025-10-04T00:17:45.642480,Cập nhật 7 ngày trước,"1,3 tỷ",,60 m²,,"21,67 triệu/m²",Đã có sổ,,,,,,,,,,Đất thổ cư,,,,,,,,
2025-10-04T00:17:50.139160,Cập nhật 7 ngày trước,"13,5 tỷ","Nhà ngõ, hẻm",60 m²,,225 triệu/m²,Đã có sổ,6 phòng,,Nội thất đầy đủ,,,,,,,,,,,,,,,
2025-10-04T00:17:57.538238,Cập nhật 7 ngày trước,"2,45 tỷ","Nhà ngõ, hẻm",40 m²,,"61,25 triệu/m²",Đã có sổ,2 phòng,,,,,,,,,,,,,,,,,
2025-10-04T00:17:58.029293,Cập nhật 8 ngày trước,10 tỷ,"Nhà ngõ, hẻm",38 m²,,"263,16 triệu/m²",Đã có sổ,3 phòng,,Nội thất đầy đủ,,,,,,"Hẻm xe hơi
Nhà nở hậu",,,,,,,,,
2025-10-04T00:17:59.697598,Cập nhật 7 ngày trước,65 tỷ,"Nhà mặt phố, mặt tiền",29 m²,,"2,24 tỷ/m²",Đã có sổ,6 phòng,6 phòng,Nội thất cao cấp,4 m,,4,,,,,,,,,,,,
2025-10-04T00:18:07.851642,Cập nhật 8 ngày trước,"13,9 tỷ","Nhà ngõ, hẻm",69 m²,,"201,45 triệu/m²",Đã có sổ,3 phòng,,,,,,,,,,,,,,,,,
2025-10-04T00:18:14.076121,Cập nhật 9 ngày trước,"15,2 tỷ",,105.6 m²,,"143,94 triệu/m²",Đã có sổ,,,,,,,,,,,,,Shophouse,,,,,
2025-10-04T00:18:20.325115,Cập nhật 8 ngày trước,"5,15 tỷ",,72 m²,,"71,53 triệu/m²",Sổ hồng riêng,3 phòng,2 phòng,,,,,Chưa bàn giao,Chung cư,,,,,,,,,,
2025-10-04T00:18:23.765842,Cập nhật 1 ngày trước,"4,23 tỷ",,47 m²,,90 triệu/m²,Đã có sổ,,,,,,,,,"Hẻm xe hơi
Mặt tiền
Nở hậu",Đất thổ cư,,,,,,,,
2025-10-04T00:18:29.603789,Cập nhật 2 ngày trước,"6,45 tỷ","Nhà ngõ, hẻm",28.3 m²,32 m²,"227,92 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất cao cấp,,,4,,,Hẻm xe hơi,,,Tây Bắc,,,,,,
2025-10-04T00:18:38.022846,Cập nhật 2 ngày trước,"5,65 tỷ","Nhà ngõ, hẻm",32 m²,45 m²,"176,56 triệu/m²",Đã có sổ,3 phòng,,,4 m,,5,,,Hẻm xe hơi,,,,,,,,,
2025-10-04T00:18:44.567720,Cập nhật 6 ngày trước,"12,8 tỷ","Nhà mặt phố, mặt tiền",42 m²,,"304,76 triệu/m²",Đã có sổ,4 phòng,5 phòng,Nội thất cao cấp,5.8 m,,7,,,"Hẻm xe hơi
Nhà nở hậu",,,,,,,,,
2025-10-04T00:18:51.932647,Cập nhật 2 ngày trước,"13,456 tỷ","Nhà ngõ, hẻm",55 m²,250 m²,"244,67 triệu/m²",Đã có sổ,6 phòng,5 phòng,Nội thất cao cấp,4.5 m,14 m,5,,,"Hẻm xe hơi
Nhà nở hậu",,,Đông Nam,,,,,,
2025-10-04T00:19:00.234337,Cập nhật 9 ngày trước,"1,59 tỷ","Nhà ngõ, hẻm",11 m²,,"144,55 triệu/m²",Không có sổ,2 phòng,2 phòng,Nội thất đầy đủ,,,4,,,,,,,,,,,,
2025-10-04T00:19:03.638626,Cập nhật 6 ngày trước,9 tỷ,"Nhà ngõ, hẻm",35 m²,42 m²,"257,14 triệu/m²",Đã có sổ,10 phòng,5 phòng,,,,5,,,,,,,,,,,,
2025-10-04T00:19:06.258776,Cập nhật 7 ngày trước,"11,7 tỷ","Nhà ngõ, hẻm",50 m²,50 m²,234 triệu/m²,Đã có sổ,6 phòng,4 phòng,,3.7 m,15 m,,,,"Hẻm xe hơi
Nhà nở hậu",,,,,,,,,
2025-10-04T00:19:17.350595,Cập nhật 7 ngày trước,890 triệu,,50 m²,,"17,80 triệu/m²",Sổ hồng riêng,2 phòng,1 phòng,Nội thất cao cấp,,,,Đã bàn giao,"Căn hộ dịch vụ, mini",,,,,,,,,,
2025-10-04T00:19:21.847078,Cập nhật 9 ngày trước,"6,75 tỷ","Nhà ngõ, hẻm",54 m²,,125 triệu/m²,Đã có sổ,1 phòng,,,,,1,,,,,,,,,,,,
2025-10-04T00:19:24.268413,Cập nhật 7 ngày trước,"43,5 tỷ",Nhà phố liền kề,118 m²,118 m²,"368,64 triệu/m²",Đã có sổ,nhiều hơn 10 phòng,,Nội thất cao cấp,5.6 m,20 m,7,,,Hẻm xe hơi,,,Đông Nam,,,,,,
2025-10-04T00:19:25.426922,Cập nhật 8 ngày trước,"4,55 tỷ",,65 m²,,70 triệu/m²,Sổ hồng riêng,2 phòng,2 phòng,Nội thất đầy đủ,,,,Chưa bàn giao,"Tập thể, cư xá",,,,,,,,,,
2025-10-04T00:19:30.217493,Cập nhật 7 ngày trước,"9,85 tỷ","Nhà ngõ, hẻm",43 m²,45 m²,"229,07 triệu/m²",Đã có sổ,4 phòng,,Nội thất cao cấp,5 m,,6,,,"Nhà nở hậu
Hẻm xe hơi",,,,,,,,,
2025-10-04T00:19:42.823521,Cập nhật 7 ngày trước,"3,72 tỷ","Nhà ngõ, hẻm",32 m²,,"116,25 triệu/m²",Đã có sổ,3 phòng,,Nội thất đầy đủ,,,5,,,,,,,,,,,,
2025-10-04T00:19:46.528334,Cập nhật 8 ngày trước,10 tỷ,"Nhà ngõ, hẻm",45 m²,,"222,22 triệu/m²",Đã có sổ,3 phòng,,Nội thất đầy đủ,,,,,,"Hẻm xe hơi
Nhà nở hậu",,,,,,,,,
2025-10-04T00:19:47.566592,Cập nhật 9 ngày trước,"7,5 tỷ","Nhà ngõ, hẻm",20 m²,20 m²,375 triệu/m²,Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-04T00:19:49.405936,Cập nhật 9 ngày trước,"1,5 tỷ",,45 m²,,"33,33 triệu/m²",Hợp đồng mua bán,2 phòng,1 phòng,Nội thất đầy đủ,,,,Đã bàn giao,Chung cư,,,,,,,,,,
2025-10-04T00:20:01.687953,Cập nhật 1 ngày trước,7 tỷ,"Nhà ngõ, hẻm",51 m²,250 m²,"137,25 triệu/m²",Đã có sổ,5 phòng,5 phòng,Nội thất cao cấp,,,6,,,"Hẻm xe hơi
Nhà nở hậu",,,,,,,,,
2025-10-04T00:20:10.253847,Cập nhật 6 ngày trước,"36,5 tỷ","Nhà ngõ, hẻm",84 m²,700 m²,"434,52 triệu/m²",Đã có sổ,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,Nội thất cao cấp,45 m,18 m,9,,,"Hẻm xe hơi
Nhà nở hậu",,,,,,,,,
2025-10-04T00:20:11.976233,Cập nhật 7 ngày trước,"1,4 tỷ",,63.7 m²,,"21,98 triệu/m²",Đã có sổ,,,,,,,,,,Đất thổ cư,m²,,,,,,,
2025-10-04T00:20:11.403410,Cập nhật 7 ngày trước,"17,9 tỷ",Nhà phố liền kề,48 m²,,"372,92 triệu/m²",Đã có sổ,4 phòng,3 phòng,Nội thất cao cấp,5 m,,5,,,"Hẻm xe hơi
Nhà nở hậu",,,,,,,,,
2025-10-04T00:20:24.308745,Cập nhật 7 ngày trước,"9,99 tỷ","Nhà ngõ, hẻm",45.8 m²,45.8 m²,"218,12 triệu/m²",Đã có sổ,3 phòng,2 phòng,Nội thất đầy đủ,4 m,12 m,4,,,,,,Đông Nam,,,,,,
2025-10-04T00:20:24.951501,Cập nhật 7 ngày trước,"13,25 tỷ","Nhà ngõ, hẻm",40 m²,,"331,25 triệu/m²",Đã có sổ,3 phòng,,,,,,,,Hẻm xe hơi,,,,,,,,,
2025-10-04T00:20:27.218347,Cập nhật 8 ngày trước,"3,82 tỷ",,55 m²,,"69,45 triệu/m²",Sổ hồng riêng,2 phòng,1 phòng,Nội thất cao cấp,,,,Đã bàn giao,Chung cư,,,,,,20,S2.05,Đông Nam,,
2025-10-04T00:20:34.917685,Cập nhật 9 ngày trước,"2,8 tỷ","Nhà ngõ, hẻm",55 m²,55 m²,"50,91 triệu/m²",Không có sổ,3 phòng,,Nội thất đầy đủ,5 m,,3,,,,,,,,,,,,
2025-10-04T00:20:35.945996,Cập nhật 9 ngày trước,"6,75 tỷ",,62 m²,,"108,87 triệu/m²",Đã có sổ,,,,,,,,,Nở hậu,Đất thổ cư,,,,,,,,
2025-10-04T00:20:47.183844,Cập nhật 7 ngày trước,"7,3 tỷ",,32 m²,,"228,12 triệu/m²",Đã có sổ,,,,4 m,8 m,,,,"Mặt tiền
Hẻm xe hơi
Nở hậu",Đất thổ cư,m²,,,,,,,
2025-10-04T00:20:48.315623,Cập nhật 8 ngày trước,"8,7 tỷ","Nhà ngõ, hẻm",45 m²,,"193,33 triệu/m²",Đã có sổ,5 phòng,5 phòng,Nội thất đầy đủ,3.3 m,,5,,,Hẻm xe hơi,,,,,,,,,
2025-10-04T00:20:58.272783,Cập nhật 8 ngày trước,"5,2 tỷ","Nhà ngõ, hẻm",30 m²,30 m²,"173,33 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất cao cấp,,,5,,,Nhà nở hậu,,,,,,,,,
2025-10-04T00:21:12.764832,Cập nhật 16 giờ trước,"6,6 tỷ","Nhà ngõ, hẻm",100 m²,300 m²,66 triệu/m²,Đã có sổ,4 phòng,3 phòng,,,,,,,Hẻm xe hơi,,,,,,,,,
